"ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV13790","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13802","NA","NA","NA","NA","NA","NA","NA"
"ASV11499","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV12537","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14173","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV1634","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9976","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV4274","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9666","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11416","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV2003","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10927","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13815","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11527","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9841","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10636","NA","NA","NA","NA","NA","NA","NA"
"ASV10380","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12263","NA","NA","NA","NA","NA","NA","NA"
"ASV10949","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11559","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14172","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13709","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13618","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10033","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13854","NA","NA","NA","NA","NA","NA","NA"
"ASV9760","NA","NA","NA","NA","NA","NA","NA"
"ASV13420","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13615","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12339","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13406","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12412","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14133","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11073","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12802","NA","NA","NA","NA","NA","NA","NA"
"ASV12203","NA","NA","NA","NA","NA","NA","NA"
"ASV9251","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13292","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11484","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12309","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12510","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12761","NA","NA","NA","NA","NA","NA","NA"
"ASV13566","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12372","NA","NA","NA","NA","NA","NA","NA"
"ASV9171","NA","NA","NA","NA","NA","NA","NA"
"ASV12925","NA","NA","NA","NA","NA","NA","NA"
"ASV12280","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14434","NA","NA","NA","NA","NA","NA","NA"
"ASV11443","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12842","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV8743","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11002","NA","NA","NA","NA","NA","NA","NA"
"ASV12513","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12202","NA","NA","NA","NA","NA","NA","NA"
"ASV11979","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10957","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12148","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11424","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12177","NA","NA","NA","NA","NA","NA","NA"
"ASV12199","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12311","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13468","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12511","NA","NA","NA","NA","NA","NA","NA"
"ASV11865","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11595","NA","NA","NA","NA","NA","NA","NA"
"ASV10879","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12683","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10871","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14640","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9525","Bacteria","NA","NA","NA","NA","NA","NA"
